,cost2,E SC2,SCR2,SSR2,SCR2 ewh,cost3,E SC3,SCR3,SCR3 ewh
62,8639.502026863283,33028.70212483672,79.75355302333402,37.424792874569604,10.565220409688408,8484.702355814603,35827.964302722095,86.51285902592491,16.443897920259467
63,8628.307224628912,33321.589240609625,79.18362473123553,37.836875310237915,10.426183580142979,8467.388153207774,36222.46414255782,86.0771071509811,16.319676749989735
64,8617.69985577666,33607.08747931803,78.61422252194087,38.24486840792902,10.290636549776844,8450.099833295753,36613.04912692434,85.64581483123486,16.211356569715022
65,8608.144539333069,33879.09985879709,78.03127937683317,38.6184894903621,10.158834347801287,8434.608284514401,36970.7286697082,85.15200432168527,16.063380364677514
66,8599.435998657289,34140.19525989436,77.4412378631461,38.992984371194716,10.029961572584757,8419.89902287563,37329.24472795312,84.67505526030068,15.947583643852841
67,8591.209286704905,34395.126257762226,76.85503532665011,39.356006468168864,9.904084478415468,8405.49607871326,37677.19075732011,84.18872502348441,15.817895656877173
68,8583.428875469966,34644.71497412246,76.27431239593982,39.70898165851317,9.78190965172175,8392.346968729928,38014.692081980356,83.69370340215576,15.709839134531622
69,8575.972745969593,34890.18201187713,75.70147917819237,40.04550245312237,9.663134894811929,8379.828684218559,38336.85431963899,83.17974890608505,15.568730822172139
70,8569.100650299362,35128.82365535222,75.13041507535979,40.383711657630236,9.547500349499776,8367.636625912419,38660.208897713834,82.68302889621015,15.451566633282818
71,8562.947729353957,35359.01090441344,74.55761044485017,40.71127731573811,9.434882766248464,8356.699765268391,38974.649591030815,82.18150528271455,15.379494556051574
72,8557.32372179627,35582.08418000428,73.98592494958386,41.034328894054276,9.324748748834466,8345.104293998944,39283.920704463424,81.68316375911301,15.248355855170445
73,8552.19141073669,35798.92529156761,73.41712102938106,41.32810688498841,9.217439637553206,8335.922549560322,39564.7330136754,81.14011156766097,15.171274073322232
74,8547.473944551264,36010.47510738268,72.85298533929344,41.59779313747147,9.11275421641593,8328.107131231009,39822.9123831453,80.5659476406758,15.014326313696216
75,8543.359603269972,36214.55689571596,72.28898610923952,41.856878750939046,9.010619765234672,8321.003108175828,40070.943418127266,79.98683735047415,14.872811439891823
76,8539.757776775508,36412.30937690537,71.7273610788302,42.09831050416594,8.911173062768711,8314.910702258661,40301.631809625025,79.38880412535708,14.73271379693723
77,8536.497444760174,36606.22386214807,71.17286156098038,42.32929048919606,8.813734405879833,8309.694305950237,40522.30953490347,78.78684066184476,14.58980899079192
78,8533.753555693866,36793.83032893199,70.62047264407035,42.55623521699475,8.718373524815657,8304.802215797188,40740.01313542975,78.19460375364503,14.43081005484927
79,8531.293722325965,36977.902594378116,70.07537073056902,42.77458048788528,8.625209424321184,8300.567429923518,40949.488963644435,77.60176805676903,14.294619007705617
80,8529.181233652263,37157.71606477339,69.53592657312818,42.993337191870495,8.533961923476744,8296.327914194228,41158.46039955354,77.0228093464445,14.165365011348083
81,8527.507551951256,37332.23112565,69.00000913793272,43.19373861574687,8.444687038251393,8293.647858948058,41350.30905814498,76.42649841273497,14.042956459343431
82,8526.188348665331,37502.53165417048,68.46946826477708,43.397822080504625,8.356882016499,8290.66010765942,41546.13829199677,75.851999100748,13.923131643345107
83,8525.147790854597,37669.39287545328,67.94550791882908,43.59357715778073,8.270784042728982,8288.269854350725,41733.54095696892,75.27614386958416,13.797441837250975
