SANTIAGO, -, CHL,,,,,
month,day,hour,Ta,G_Gh,G_Bn,G_Dh,FF
1,17,8,15.8,220,275,131,1
1,17,9,19,458,545,175,1
1,17,10,22,687,759,162,2.1
1,17,11,23.7,875,862,159,2.6
1,17,12,26,1006,923,151,4.6
1,17,13,26,1069,931,163,4.1
1,17,14,28,1059,929,162,5.1
1,17,15,29,979,918,146,5.1
1,17,16,28,833,851,153,4.1
1,17,17,28,632,745,148,4.6
1,17,18,27,396,529,147,3.6
1,17,19,26,165,207,109,5.7
1,17,20,22.9,18,0,18,4.1
1,17,21,20,0,0,0,3.6
1,17,22,19,0,0,0,3.6
1,17,23,17.2,0,0,0,2.6
1,17,24,16,0,0,0,2.6
1,18,1,15,0,0,0,2.6
1,18,2,15,0,0,0,2.1
1,18,3,14,0,0,0,2.1
1,18,4,14,0,0,0,1.5
1,18,5,13,0,0,0,1.5
1,18,6,12,0,0,0,1.5
1,18,7,12.8,32,0,32,1.8
1,18,8,13.7,65,0,65,2.1
1,18,9,16,318,124,254,2.6
1,18,10,19,615,476,287,3.6
1,18,11,21.4,854,721,256,4.1
1,18,12,24,945,692,304,4.6
1,18,13,25,928,505,438,5.1
1,18,14,26.8,795,307,499,5.1
1,18,15,27.4,682,238,466,4.6
1,18,16,28,529,146,412,4.1
1,18,17,28,358,68,313,4.6
1,18,18,28,224,60,196,4.1
1,18,19,27,93,0,93,4.1
1,18,20,25,10,0,10,3.6
1,18,21,22,0,0,0,3.1
1,18,22,21,0,0,0,3.1
1,18,23,19.7,0,0,0,2.6
1,18,24,18,0,0,0,3.1
1,19,1,18,0,0,0,3.1
1,19,2,17,0,0,0,2.6
1,19,3,16,0,0,0,2.6
1,19,4,15,0,0,0,3.1
1,19,5,15.1,0,0,0,2.6
1,19,6,15,0,0,0,2.6
1,19,7,15,15,0,15,3.1
1,19,8,15.6,64,0,64,3.1
1,19,9,16,220,21,210,4.1
1,19,10,18,434,130,344,4.6
1,19,11,20,654,287,416,4.1
1,19,12,21,900,564,379,3.6
1,19,13,24,1033,732,322,3.6
1,19,14,25.6,1050,924,158,3.6
1,19,15,27,955,862,174,4.1
1,19,16,28,783,650,264,5.1
1,19,17,26.9,547,433,265,5.7
1,19,18,25.9,364,450,152,4.9
1,19,19,25,157,186,107,4.1
1,19,20,23,17,0,17,3.1
1,19,21,21,0,0,0,2.1
1,19,22,19,0,0,0,3.1
1,19,23,18.2,0,0,0,2.1
1,19,24,18,0,0,0,2.1
1,20,1,17,0,0,0,1.5
1,20,2,16.4,0,0,0,2.1
1,20,3,16,0,0,0,2.1
1,20,4,16,0,0,0,1
1,20,5,15.2,0,0,0,0
1,20,6,15.8,0,0,0,0
1,20,7,16.4,35,0,35,0
1,20,8,17,211,262,128,0
1,20,9,20,447,582,149,1
1,20,10,23,676,771,148,2.1
1,20,11,25,865,898,124,3.6
1,20,12,27,998,986,88,5.1
1,20,13,27,1062,996,96,6.2
1,20,14,28,1055,926,163,5.7
1,20,15,29,976,906,156,4.6
1,20,16,29,831,872,135,5.7
1,20,17,27.8,630,740,149,5.7
1,20,18,27,395,528,147,5.7
1,20,19,25,163,205,108,4.6
1,20,20,23,18,0,18,3.6
1,20,21,20,0,0,0,2.6
1,20,22,19,0,0,0,3.6
1,20,23,18.3,0,0,0,3.1
1,20,24,18,0,0,0,1.5
1,21,1,17,0,0,0,1.5
1,21,2,15.9,0,0,0,1.5
1,21,3,16,0,0,0,1.5
1,21,4,15.3,0,0,0,1.3
1,21,5,14.7,0,0,0,1.2
1,21,6,14,0,0,0,1
1,21,7,14,34,0,34,0
1,21,8,16.4,208,259,127,1
1,21,9,18.7,446,535,174,2.6
1,21,10,21,676,757,159,4.1
1,21,11,22.8,867,866,154,5.1
1,21,12,25,1000,925,147,4.6
1,21,13,25.5,1065,934,160,5.4
1,21,14,26,1057,932,158,6.2
1,21,15,26,976,909,153,6.2
1,21,16,26,831,851,152,5.9
1,21,17,26,630,744,147,5.7
1,21,18,25,393,524,147,5.7
1,21,19,24,160,190,108,4.1
1,21,20,22.1,16,0,16,3.1
1,21,21,20,0,0,0,2.6
1,21,22,18.4,0,0,0,2.8
1,21,23,16.9,0,0,0,3.1
1,21,24,16,0,0,0,2.1
1,22,1,16,0,0,0,1.5
1,22,2,15.3,0,0,0,1
1,22,3,14,0,0,0,1.5
1,22,4,14,0,0,0,1
1,22,5,14,0,0,0,1.5
1,22,6,14,0,0,0,1
1,22,7,14,32,0,32,1.5
1,22,8,16,204,254,126,1
1,22,9,19,443,533,173,2.6
1,22,10,21,675,760,157,2.6
1,22,11,23.3,865,865,154,2.6
1,22,12,25,1001,885,186,3.4
1,22,13,26.5,1062,931,161,4.1
1,22,14,28,1054,927,161,4.1
1,22,15,29,974,905,155,4.1
1,22,16,29,829,847,154,5.1
1,22,17,27.9,629,742,148,6.2
1,22,18,27,393,528,146,5.1
1,22,19,25.5,162,204,107,4.5
1,22,20,24.1,17,0,17,3.9
1,22,21,22.6,0,0,0,3.3
1,22,22,21.2,0,0,0,2.7
1,22,23,19.7,0,0,0,2.1
1,22,24,19,0,0,0,1.5
1,23,1,18,0,0,0,0.5
1,23,2,17,0,0,0,1.5
1,23,3,16,0,0,0,2.1
1,23,4,15,0,0,0,2.1
1,23,5,14.6,0,0,0,0.5
1,23,6,14,0,0,0,0.5
1,23,7,15,30,0,30,0.5
1,23,8,17.6,202,253,124,0
1,23,9,21,439,526,174,0
1,23,10,24,669,748,161,0
1,23,11,25.4,860,857,157,1.5
1,23,12,27.2,993,916,151,2.8
1,23,13,29,1057,995,95,4.1
1,23,14,29,1051,923,163,5.7
1,23,15,30,976,913,150,5.1
1,23,16,29,830,854,150,5.7
1,23,17,28.8,629,745,146,4.6
1,23,18,28,393,531,145,4.6
1,23,19,26,162,205,107,4.6
1,23,20,24.6,17,0,17,4.6
1,23,21,22,0,0,0,3.6
1,23,22,20,0,0,0,2.6
1,23,23,19.2,0,0,0,3.1
1,23,24,19,0,0,0,2.1
1,24,1,18,0,0,0,1
1,24,2,17.2,0,0,0,3.1
1,24,3,16,0,0,0,1.5
1,24,4,15,0,0,0,1.5
1,24,5,14.8,0,0,0,1
1,24,6,13,0,0,0,1
1,24,7,14,29,0,29,0.5
1,24,8,17.6,199,249,123,0.5
1,24,9,21,437,528,172,0.5
1,24,10,23,668,753,158,1
1,24,11,26,859,862,154,2.6
1,24,12,28,994,924,146,4.1
1,24,13,29,1062,938,155,3.6
1,24,14,30,1055,939,153,5.7
1,24,15,30,976,918,147,5.7
1,24,16,31,830,858,148,5.1
1,24,17,30,630,753,143,5.7
1,24,18,29,394,537,143,6.2
1,24,19,27,161,204,106,6.2
1,24,20,25.2,17,0,17,10.3
1,24,21,24,0,0,0,4.6
1,24,22,22,0,0,0,2.1
1,24,23,20.2,0,0,0,2.6
1,24,24,19,0,0,0,1.5
1,25,1,19,0,0,0,2.1
1,25,2,16.6,0,0,0,0
1,25,3,15.8,0,0,0,0
1,25,4,15,0,0,0,0
1,25,5,14.1,0,0,0,0.5
1,25,6,13,0,0,0,0.5
1,25,7,13,27,0,27,0
1,25,8,18,196,246,122,1
1,25,9,22,434,528,171,0.5
1,25,10,24,666,756,156,1
1,25,11,26.8,859,867,150,1.5
1,25,12,29,995,932,141,3.1
1,25,13,29.9,1064,954,143,4.1
1,25,14,30.8,1059,958,139,5.1
1,25,15,31,979,902,165,6.2
1,25,16,30.5,834,867,144,5.9
1,25,17,30,632,741,153,5.7
1,25,18,29,393,505,158,6.2
1,25,19,27,160,169,115,6.2
1,25,20,24.7,16,0,16,4.1
1,25,21,24,0,0,0,3.1
1,25,22,21,0,0,0,3.1
1,25,23,20.4,0,0,0,2.6
1,25,24,18,0,0,0,1.5
1,26,1,16,0,0,0,1
1,26,2,16.2,0,0,0,1.5
1,26,3,16,0,0,0,0.5
1,26,4,15,0,0,0,0
1,26,5,13,0,0,0,0.5
1,26,6,11,0,0,0,1
1,26,7,13,26,0,26,1
1,26,8,17.8,194,211,131,1
1,26,9,22,431,524,171,1
1,26,10,25,664,758,154,2.1
1,26,11,27.6,859,845,170,3.6
1,26,12,29.1,994,935,139,4.1
1,26,13,30.7,1060,944,151,4.6
1,26,14,32.2,1054,942,150,5.1
1,26,15,33,974,917,147,4.1
1,26,16,32.5,829,882,129,4.4
1,26,17,32,628,751,143,4.6
1,26,18,30,387,517,147,6.7
1,26,19,27,151,169,107,5.7
1,26,20,25.4,14,0,14,3.6
1,26,21,23,0,0,0,3.1
1,26,22,21,0,0,0,4.6
1,26,23,20.6,0,0,0,3.6
1,26,24,20,0,0,0,2.6
1,27,1,18,0,0,0,1
1,27,2,17.4,0,0,0,0.5
1,27,3,16.7,0,0,0,0.5
1,27,4,16.1,0,0,0,0.5
1,27,5,15.4,0,0,0,0.5
1,27,6,14,0,0,0,0.5
1,27,7,16.2,24,0,24,0.7
1,27,8,18.4,190,299,102,1
1,27,9,21,426,511,173,2.1
1,27,10,24,657,742,159,3.6
1,27,11,25.5,849,852,156,3.6
1,27,12,27,986,871,190,3.6
1,27,13,28,1052,925,162,3.6
1,27,14,28.8,1046,924,160,4.6
1,27,15,28,968,903,154,4.6
1,27,16,29,822,886,119,3.6
1,27,17,28.9,621,789,113,3.1
1,27,18,28,387,522,145,4.1
1,27,19,25,156,206,101,4.6
1,27,20,22.6,16,0,16,5.1
1,27,21,20,0,0,0,5.1
1,27,22,18,0,0,0,3.1
1,27,23,16.7,0,0,0,3.6
1,27,24,16,0,0,0,3.6
1,28,1,16,0,0,0,3.1
1,28,2,15.3,0,0,0,2.1
1,28,3,15.1,0,0,0,1.5
1,28,4,15,0,0,0,1
1,28,5,14.7,0,0,0,0.5
1,28,6,14,0,0,0,1.5
1,28,7,14,19,0,19,3.1
1,28,8,15.2,56,0,56,2.6
1,28,9,17,354,154,278,1
1,28,10,20,645,574,261,0.5
1,28,11,24,846,837,166,2.1
1,28,12,26.5,982,914,149,3.1
1,28,13,29,1054,937,154,4.1
1,28,14,28.5,1047,932,155,5.1
1,28,15,29,968,908,151,6.2
1,28,16,28,824,873,132,5.1
1,28,17,27,623,742,145,5.7
1,28,18,27,387,524,144,5.1
1,28,19,25,155,195,104,3.1
1,28,20,24,15,0,15,2.6
1,28,21,21,0,0,0,2.6
1,28,22,19,0,0,0,3.6
1,28,23,18,0,0,0,3.6
1,28,24,17,0,0,0,1.5
1,29,1,16,0,0,0,1
1,29,2,14.6,0,0,0,1.5
1,29,3,15,0,0,0,1.5
1,29,4,14,0,0,0,1.5
1,29,5,14.4,0,0,0,1
1,29,6,13,0,0,0,1
1,29,7,13,22,0,22,0
1,29,8,17,183,270,105,1
1,29,9,20,419,504,173,1.5
1,29,10,22,652,743,157,1.5
1,29,11,25,845,854,154,3.6
1,29,12,27,981,918,146,3.6
1,29,13,28,1049,928,158,4.6
1,29,14,29.5,1044,927,158,4.6
1,29,15,31,968,911,149,3.1
1,29,16,32,825,881,128,3.6
1,29,17,32.2,625,734,153,5.7
1,29,18,29.1,387,499,157,5.9
1,29,19,26,154,195,103,6.2
1,29,20,24.7,15,0,15,6.2
1,29,21,23,0,0,0,3.1
1,29,22,21,0,0,0,1.5
1,29,23,19.6,0,0,0,2.1
1,29,24,19,0,0,0,2.6
1,30,1,18,0,0,0,2.1
1,30,2,17,0,0,0,2.1
1,30,3,16,0,0,0,1.5
1,30,4,15.3,0,0,0,1.8
1,30,5,14.6,0,0,0,2.1
1,30,6,15,0,0,0,1.5
1,30,7,14,21,0,21,1
1,30,8,17.4,180,266,104,1
1,30,9,19.7,417,504,172,1.5
1,30,10,22.1,650,745,155,2.1
1,30,11,24.4,844,858,151,2.6
1,30,12,27,982,878,185,3.6
1,30,13,28,1049,932,156,3.6
1,30,14,28.6,1042,927,157,5.7
1,30,15,28.8,965,909,150,5.4
1,30,16,29,822,876,130,5.1
1,30,17,28.9,620,744,143,5.7
1,30,18,28,385,527,142,6.2
1,30,19,26,152,192,103,6.2
1,30,20,24.5,15,0,15,5.7
1,30,21,23,0,0,0,4.1
1,30,22,21.3,0,0,0,3.1
1,30,23,19.6,0,0,0,2.1
1,30,24,18,0,0,0,1
1,31,1,16,0,0,0,1
1,31,2,15.9,0,0,0,1
1,31,3,15,0,0,0,1
1,31,4,14,0,0,0,0.5
1,31,5,12.8,0,0,0,0.5
1,31,6,13,0,0,0,1
1,31,7,14,20,0,20,0.5
1,31,8,16.8,178,215,117,0
1,31,9,20,414,505,170,0.5
1,31,10,22,646,740,156,1.5
1,31,11,24.8,844,865,146,3.1
1,31,12,26,981,929,139,2.6
1,31,13,28,1051,944,148,5.1
1,31,14,30,1046,943,147,2.1
1,31,15,31,967,919,144,4.1
1,31,16,32,823,883,125,4.6
1,31,17,31.6,620,748,141,4.6
1,31,18,31,382,524,142,5.1
1,31,19,30.2,151,189,102,5.1
1,31,20,28.3,14,0,14,3.1
1,31,21,26.4,0,0,0,3.1
1,31,22,24.3,0,0,0,2.8
1,31,23,22,0,0,0,2.6
1,31,24,19.6,0,0,0,0
2,1,1,17.3,0,0,0,1.4
