,EWH,LV,MV,Tariff,EWH flex,PV
231,5.25,15.173999999999996,25.089625,c,6.3,16.522967734603082
232,4.2,15.259999999999994,27.114750000000004,c,6.3,12.764103644501287
233,1.05,15.651,28.301562500000006,c,4.2,19.515419327790948
234,1.05,15.058000000000005,29.488375000000005,c,4.2,16.05411305391893
235,2.1,15.560999999999995,30.675187500000003,c,1.05,15.498360689578428
236,2.1,13.456999999999988,31.862,c,10.500000000000002,22.42389793755983
237,1.05,13.458999999999998,32.267250000000004,c,9.450000000000001,21.920739921432236
238,1.05,14.222999999999999,32.6725,c,2.1,15.299784499023623
239,1.05,15.675,33.077749999999995,c,2.1,14.61487854445164
240,0.0,15.569999999999993,33.483000000000004,c,0.0,16.5471334802426
241,0.0,17.32599999999999,33.20375,c,0.0,10.970510277626024
242,0.0,16.532,32.924499999999995,c,5.25,22.226170258824187
243,0.0,15.924999999999995,32.64525,c,14.700000000000005,31.437638836005263
244,0.0,15.546,32.366,c,11.550000000000002,27.528231659373862
245,0.0,15.279999999999998,32.664125,c,5.25,20.534597540436607
246,0.0,15.016999999999998,32.96225,c,5.25,21.146447974078374
247,0.0,14.044999999999998,33.260375,c,2.1,15.584229099018403
248,0.0,14.788000000000007,33.5585,c,5.25,20.1390267590178
249,0.0,15.501,33.79975,c,5.25,16.484012337199648
250,0.0,15.661000000000005,34.041,c,4.2,20.363432722433725
251,0.0,15.078999999999995,34.28225,c,5.25,20.830106008553248
252,0.0,14.606000000000005,34.5235,c,2.1,18.082037776192095
253,1.05,15.147000000000007,34.00075,c,1.05,14.141788817994218
254,1.05,16.376999999999992,33.477999999999994,c,0.0,17.23559134672893
255,0.0,16.615999999999982,32.95525,c,0.0,16.707440845072533
256,0.0,15.396000000000004,32.4325,c,0.0,17.063620558508102
257,1.05,14.952999999999996,32.896375,c,2.1,17.16383747781541
258,2.1,14.584,33.36024999999999,c,2.1,8.259023811267099
259,1.05,14.592999999999998,33.824124999999995,c,0.0,6.975008287762035
260,1.05,12.376999999999995,34.288000000000004,p,1.05,10.069109295314624
261,1.05,13.935000000000004,33.51725,p,1.05,8.778181526439074
262,2.1,13.318000000000005,32.7465,p,2.1,7.0824825119303565
263,3.1500000000000004,13.879,31.97575,p,3.1500000000000004,2.6713282557328664
264,6.3,14.577999999999996,31.205,p,4.2,3.638348158673887
265,5.25,13.33,30.397250000000003,p,3.1500000000000004,2.5657741185204195
266,5.25,14.290000000000004,29.5895,p,5.25,0.48842524656880143
267,8.4,14.227,28.78175,p,7.35,-0.027000000000000007
268,6.3,16.163,27.974000000000004,p,4.2,-0.027000000000000007
269,4.2,15.214999999999993,27.08675,p,2.1,-0.027000000000000007
270,5.25,17.286999999999995,26.1995,p,4.2,-0.010800000000000004
271,6.3,18.77299999999999,25.31225,p,4.2,0.0
272,4.2,19.188,24.425,p,2.1,0.0
273,3.1500000000000004,20.084000000000007,24.183625000000006,p,3.1500000000000004,0.0
274,6.3,19.087999999999987,23.94225,p,4.2,0.0
275,8.4,20.875,23.700875000000003,p,6.3,0.0
276,6.3,18.58,23.45950000000001,p,6.3,0.0
277,4.2,20.776999999999987,23.715375000000005,p,3.1500000000000004,0.0
278,1.05,20.442,23.971250000000005,p,0.0,0.0
279,1.05,19.261000000000006,24.227125,p,1.05,0.0
280,2.1,19.867,24.483,c,1.05,0.0
281,2.1,20.264,22.429625,c,1.05,0.0
282,1.05,19.172,20.37625,c,1.05,0.0
283,1.05,18.097000000000016,18.322875,c,1.05,0.0
284,2.1,18.1,16.2695,c,2.1,0.0
285,1.05,17.838,14.3228125,c,1.05,0.0
286,0.0,16.661000000000005,12.376125,c,0.0,0.0
287,0.0,15.359999999999996,10.4294375,c,0.0,0.0
288,0.0,12.656999999999995,8.48275,c,0.0,0.0
289,0.0,12.446000000000007,8.365124999999999,c,0.0,0.0
290,0.0,11.362000000000007,8.247499999999999,v,0.0,0.0
291,0.0,11.016000000000002,8.129875,v,0.0,0.0
292,0.0,9.553999999999998,8.01225,v,0.0,0.0
293,0.0,9.441999999999998,7.1616875,v,0.0,0.0
294,0.0,10.428999999999997,6.3111250000000005,v,0.0,0.0
295,0.0,10.184999999999997,5.4605625,v,0.0,0.0
296,0.0,8.761000000000003,4.61,sv,0.0,0.0
297,0.0,8.233999999999996,4.5060625000000005,sv,0.0,0.0
298,0.0,8.215999999999996,4.402125,sv,0.0,0.0
299,0.0,7.641999999999998,4.2981875,sv,0.0,0.0
300,0.0,7.765999999999996,4.19425,sv,0.0,0.0
301,0.0,7.690999999999996,4.1770625,sv,0.0,0.0
302,1.05,7.978999999999996,4.159875,sv,0.0,0.0
303,1.05,8.470999999999995,4.142687500000001,sv,0.0,0.0
304,0.0,7.755,4.1255000000000015,sv,0.0,0.0
305,0.0,7.166999999999999,4.1148750000000005,sv,0.0,0.0
306,0.0,6.847999999999992,4.10425,sv,0.0,0.0
307,0.0,6.859999999999991,4.093625,sv,0.0,0.0
308,1.05,6.568,4.083,sv,0.0,0.0
309,2.1,6.907999999999994,4.0494375,sv,0.0,0.0
310,2.1,7.082999999999997,4.0158749999999985,sv,0.0,0.0
311,3.1500000000000004,6.759999999999999,3.9823125,sv,0.0,0.0
312,4.2,7.0489999999999915,3.94875,v,0.0,0.0
313,5.25,6.734999999999995,4.9998749999999985,v,0.0,0.0
314,4.2,7.941999999999994,6.051,v,0.0,0.0
315,2.1,7.924999999999992,7.102125,v,0.0,0.0
316,3.1500000000000004,10.09,8.15325,v,0.0,0.0
317,3.1500000000000004,11.111000000000002,9.8336875,v,0.0,0.0
318,5.25,12.840999999999996,11.514125,c,0.0,0.0
319,7.35,14.829999999999995,13.1945625,c,0.0,-0.023400000000000008
320,5.25,13.731000000000012,14.875,c,0.0,0.2128557850662166
321,4.2,12.741999999999996,15.278875,c,0.0,7.108937098208673
322,7.35,13.987000000000007,15.68275,c,0.0,7.611298210020653
323,7.35,13.877999999999995,16.086624999999998,c,2.1,10.284049920644746
324,6.3,13.719,16.490499999999994,c,5.25,15.264933941842255
325,6.3,13.655999999999999,18.5931875,c,4.2,14.285419687258395
326,2.1,15.31900000000001,20.695875,c,1.05,14.384385169055562
327,4.2,14.028,22.7985625,c,0.0,15.60584646785778
328,4.2,12.627,24.90125,c,5.25,19.89146854185798
329,0.0,13.953,26.1174375,c,5.25,18.6077716634746
330,1.05,12.534999999999995,27.333625,c,4.2,21.689034278272363
331,3.1500000000000004,13.178000000000004,28.5498125,c,8.4,24.692901504718286
332,2.1,12.39,29.766,c,5.25,22.815748766138444
333,1.05,14.046000000000005,29.817375,c,3.1500000000000004,23.396677565151926
334,1.05,12.598999999999993,29.86875,c,7.35,26.184148067445793
335,0.0,14.05,29.920125,c,5.25,26.261277478123645
336,2.1,12.679000000000006,29.9715,c,7.35,24.842119787472306
337,2.1,13.506000000000006,29.357625,c,8.4,27.153532124546913
338,1.05,14.547999999999995,28.74375,c,6.3,26.687858945776185
339,1.05,15.585999999999995,28.129875,c,5.25,25.80007652207133
340,0.0,16.153000000000006,27.516,c,5.25,28.186104331846888
341,0.0,15.113999999999995,27.7730625,c,5.25,27.482659473364343
342,0.0,14.087000000000005,28.030125,c,4.2,24.665372946314914
343,0.0,13.560000000000002,28.2871875,c,4.2,24.900780905908036
344,0.0,12.287999999999998,28.54425,c,7.35,26.1571717728344
345,0.0,13.700000000000005,28.5375,c,7.35,22.778384799837866
346,0.0,12.67699999999999,28.53075,c,4.2,24.13434189370158
347,0.0,13.507000000000005,28.524,c,4.2,24.725791429740223
348,0.0,13.184,28.51725,c,3.1500000000000004,23.427259587652898
349,0.0,13.622000000000002,27.3344375,c,3.1500000000000004,20.87065040091906
350,0.0,12.678999999999995,26.151625,c,0.0,20.015748210783233
351,0.0,13.743,24.9688125,c,0.0,17.827789327333555
352,0.0,12.843000000000005,23.786,c,0.0,17.147149878528012
353,0.0,11.911999999999995,24.5951875,c,0.0,15.930711315751871
354,0.0,12.122999999999998,25.404375,c,0.0,14.207529237353286
355,0.0,13.203999999999995,26.2135625,c,0.0,12.246063760619789
356,2.1,13.142999999999995,27.02275,p,2.1,11.394109165131468
357,3.1500000000000004,12.871000000000004,26.4345,p,3.1500000000000004,8.523206415736768
358,1.05,12.11,25.84625,p,1.05,6.769676310375638
359,2.1,11.723,25.258000000000003,p,2.1,5.245289586245759
360,6.3,13.977999999999998,24.66975,p,6.3,5.379657919645812
361,6.3,13.672,24.0765,p,6.3,2.0472253988104687
362,6.3,14.641999999999996,23.48325,p,4.2,0.3861832978788778
363,6.3,14.979000000000005,22.89,p,4.2,-0.027000000000000007
364,9.450000000000001,14.258999999999995,22.29675,p,8.4,-0.027000000000000007
365,10.500000000000002,14.763,21.7621875,p,8.4,-0.027000000000000007
366,4.2,17.121999999999996,21.227625,p,3.1500000000000004,-0.012600000000000004
367,1.05,17.322,20.6930625,p,1.05,0.0
368,2.1,16.715000000000007,20.1585,p,1.05,0.0
369,5.25,17.530999999999995,20.1294375,p,3.1500000000000004,0.0
370,6.3,18.970000000000013,20.100375,p,5.25,0.0
371,6.3,17.886999999999993,20.0713125,p,6.3,0.0
372,6.3,18.492,20.04225,p,6.3,0.0
373,5.25,19.527,20.226875,p,5.25,0.0
374,3.1500000000000004,18.581,20.4115,p,3.1500000000000004,0.0
375,2.1,19.046,20.596125,p,2.1,0.0
376,2.1,20.855000000000008,20.78075,c,2.1,0.0
377,1.05,19.761,19.2735625,c,1.05,0.0
378,0.0,17.829,17.766375,c,0.0,0.0
379,1.05,18.695999999999994,16.2591875,c,1.05,0.0
380,2.1,17.05,14.752,c,2.1,0.0
381,1.05,16.42499999999999,13.0594375,c,1.05,0.0
382,0.0,14.674000000000001,11.366875,c,0.0,0.0
383,0.0,13.996000000000004,9.6743125,c,0.0,0.0
384,0.0,13.925999999999995,7.981750000000001,c,0.0,0.0
385,0.0,12.450000000000005,7.4603125000000015,c,0.0,0.0
386,0.0,11.982999999999999,6.938875,v,0.0,0.0
387,0.0,11.613000000000005,6.4174375,v,0.0,0.0
388,0.0,10.475999999999996,5.896,v,0.0,0.0
389,0.0,9.906000000000002,5.3304375,v,0.0,0.0
390,0.0,9.568999999999999,4.764875,v,0.0,0.0
391,0.0,8.952999999999994,4.1993125,v,0.0,0.0
392,0.0,8.376999999999997,3.63375,sv,0.0,0.0
393,0.0,9.132,3.5681875,sv,0.0,0.0
394,0.0,8.469999999999997,3.502625,sv,0.0,0.0
395,0.0,8.631999999999994,3.4370625,sv,0.0,0.0
396,0.0,8.129999999999997,3.3715,sv,0.0,0.0
397,0.0,7.68,3.3623125000000003,sv,0.0,0.0
398,0.0,7.051999999999999,3.3531250000000004,sv,0.0,0.0
399,0.0,7.173999999999998,3.3439375,sv,0.0,0.0
400,1.05,7.489999999999997,3.33475,sv,0.0,0.0
401,1.05,7.027999999999996,3.402125,sv,0.0,0.0
402,0.0,7.023999999999997,3.4695,sv,0.0,0.0
403,0.0,7.251999999999994,3.536875,sv,0.0,0.0
404,0.0,6.9159999999999915,3.60425,sv,0.0,0.0
405,0.0,7.299999999999995,3.5776875,sv,0.0,0.0
406,1.05,7.544999999999996,3.551125,sv,0.0,0.0
407,2.1,8.649000000000001,3.5245625,sv,0.0,0.0
408,3.1500000000000004,8.406999999999996,3.498,v,0.0,0.0
409,6.3,7.852999999999996,4.612500000000002,v,0.0,0.0
410,7.35,7.756999999999999,5.727,v,0.0,0.0
411,5.25,8.982999999999999,6.8415,v,0.0,0.0
412,3.1500000000000004,10.972000000000005,7.956,v,0.0,0.0
413,5.25,11.974000000000006,9.4000625,v,0.0,0.0
414,6.3,13.729999999999995,10.844125,c,0.0,0.0
415,7.35,14.838,12.2881875,c,0.0,-0.025200000000000007
416,8.4,13.952999999999996,13.73225,c,0.0,2.939797037493784
417,7.35,14.409000000000008,14.6318125,c,0.0,6.674542901448653
418,5.25,15.001000000000005,15.531375,c,0.0,10.22723852531391
419,3.1500000000000004,14.066999999999998,16.4309375,c,0.0,4.57110961711754
420,3.1500000000000004,17.19199999999999,17.3305,c,0.0,3.2434510207359817
421,3.1500000000000004,15.558,20.3003125,c,0.0,8.79030191032053
422,7.35,15.667999999999992,23.270125,c,1.05,12.172866536465875
423,5.25,14.419,26.2399375,c,8.4,21.43279049739978
424,1.05,13.948000000000002,29.20975,c,7.35,17.551383093654
425,2.1,13.080999999999998,30.05325,c,1.05,15.700338882960114
426,2.1,12.950000000000005,30.89675,c,1.05,14.624887400812334
427,3.1500000000000004,12.75799999999999,31.74025,c,5.25,18.29480559069247
428,2.1,13.402999999999999,32.58375,c,5.25,15.429065197327274
429,0.0,15.012999999999993,31.9225625,c,9.450000000000001,27.637505500263888
430,1.05,14.500000000000007,31.261375,c,9.450000000000001,24.095367290298995
431,1.05,13.846000000000007,30.6001875,c,7.35,24.12133637932454
432,0.0,13.785999999999998,29.939,c,9.450000000000001,26.807302953732783
433,0.0,13.735999999999994,29.8106875,c,12.600000000000003,30.147106047809732
434,0.0,13.891000000000007,29.682375,c,10.500000000000002,18.08079767839896
435,0.0,14.214999999999998,29.5540625,c,1.05,18.998992801037225
